image,culture_id,maladie_id,etat_id
100maize_train_healthy.JPG,1,0,0
101maize_train_healthy.JPG,1,0,0
102maize_train_healthy.JPG,1,0,0
103maize_train_healthy.JPG,1,0,0
104maize_train_healthy.JPG,1,0,0
105maize_train_healthy.JPG,1,0,0
106maize_train_healthy.JPG,1,0,0
107maize_train_healthy.JPG,1,0,0
108maize_train_healthy.JPG,1,0,0
109maize_train_healthy.JPG,1,0,0
110maize_train_healthy.JPG,1,0,0
111maize_train_healthy.JPG,1,0,0
112maize_train_healthy.JPG,1,0,0
112maize_valid_healthy.JPG,1,0,0
113maize_train_healthy.JPG,1,0,0
113maize_valid_healthy.JPG,1,0,0
114maize_train_healthy.JPG,1,0,0
115maize_train_healthy.JPG,1,0,0
116maize_train_healthy.JPG,1,0,0
116maize_valid_healthy.JPG,1,0,0
117maize_train_healthy.JPG,1,0,0
117maize_valid_healthy.JPG,1,0,0
118maize_train_healthy.JPG,1,0,0
119maize_train_healthy.JPG,1,0,0
120maize_train_healthy.JPG,1,0,0
120maize_valid_healthy.JPG,1,0,0
121maize_train_healthy.JPG,1,0,0
121maize_valid_healthy.JPG,1,0,0
122maize_train_healthy.JPG,1,0,0
123maize_train_healthy.JPG,1,0,0
124maize_train_healthy.JPG,1,0,0
125maize_train_healthy.JPG,1,0,0
126maize_train_healthy.JPG,1,0,0
127maize_train_healthy.JPG,1,0,0
128maize_train_healthy.JPG,1,0,0
129maize_train_healthy.JPG,1,0,0
130maize_train_healthy.JPG,1,0,0
131maize_train_healthy.JPG,1,0,0
132maize_train_healthy.JPG,1,0,0
133maize_train_healthy.JPG,1,0,0
134maize_train_healthy.JPG,1,0,0
135maize_train_healthy.JPG,1,0,0
136maize_train_healthy.JPG,1,0,0
137maize_train_healthy.JPG,1,0,0
138maize_train_healthy.JPG,1,0,0
139maize_train_healthy.JPG,1,0,0
140maize_train_healthy.JPG,1,0,0
141maize_train_healthy.JPG,1,0,0
142maize_train_healthy.JPG,1,0,0
143maize_train_healthy.JPG,1,0,0
144maize_train_healthy.JPG,1,0,0
145maize_train_healthy.JPG,1,0,0
146maize_train_healthy.JPG,1,0,0
147maize_train_healthy.JPG,1,0,0
148maize_train_healthy.JPG,1,0,0
149maize_train_healthy.JPG,1,0,0
150maize_train_healthy.JPG,1,0,0
151maize_train_healthy.JPG,1,0,0
152maize_train_healthy.JPG,1,0,0
153maize_train_healthy.JPG,1,0,0
154maize_train_healthy.JPG,1,0,0
155maize_train_healthy.JPG,1,0,0
156maize_train_healthy.JPG,1,0,0
157maize_train_healthy.JPG,1,0,0
158maize_train_healthy.JPG,1,0,0
159maize_train_healthy.JPG,1,0,0
160maize_train_healthy.JPG,1,0,0
161maize_train_healthy.JPG,1,0,0
162maize_train_healthy.JPG,1,0,0
163maize_train_healthy.JPG,1,0,0
164maize_train_healthy.JPG,1,0,0
165maize_train_healthy.JPG,1,0,0
166maize_train_healthy.JPG,1,0,0
167maize_train_healthy.JPG,1,0,0
168maize_train_healthy.JPG,1,0,0
169maize_train_healthy.JPG,1,0,0
16maize_train_healthy.JPG,1,0,0
170maize_train_healthy.JPG,1,0,0
171maize_train_healthy.JPG,1,0,0
172maize_train_healthy.JPG,1,0,0
173maize_train_healthy.JPG,1,0,0
174maize_train_healthy.JPG,1,0,0
175maize_train_healthy.JPG,1,0,0
176maize_train_healthy.JPG,1,0,0
177maize_train_healthy.JPG,1,0,0
178maize_train_healthy.JPG,1,0,0
179maize_train_healthy.JPG,1,0,0
